municipality_code,municipality_name,comarca_code,comarca_name,reference_period,nearest_station,nearest_station_minutes,nearest_station_km,best_station,best_station_minutes,best_station_skiable_km,second_station,second_station_minutes,third_station,third_station_minutes,ski_raw,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080018,Abrera,11,Baix Llobregat,2026-08-21,Masella,99.192833,118.63,Masella,99.192833,74,La Molina,105.463167,Port del Comte,105.673,0.320611,33.4841,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,33.4841,33.4841,100,,curated,access_variety_no_tier,true
080023,Aguilar de Segarra,07,Bages,2026-08-21,Port del Comte,77.334333,85.76,Port del Comte,77.334333,,Masella,88.860833,La Molina,95.131,0.440486,49.7429,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,49.7429,49.7429,100,,curated,access_variety_no_tier,true
080039,Alella,21,Maresme,2026-08-21,Masella,116.738167,152.13,Masella,116.738167,74,La Molina,123.008333,Port del Comte,123.218333,0.239322,22.4587,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,22.4587,22.4587,100,,curated,access_variety_no_tier,true
080044,Alpens,43,Lluçanès,2026-08-21,Masella,79.132833,72.76,Masella,79.132833,74,Vall de Núria,81.2835,La Molina,85.403,0.456668,51.9376,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,51.9376,51.9376,100,,curated,access_variety_no_tier,true
080057,l'Ametlla del Vallès,41,Vallès Oriental,2026-08-21,Vall de Núria,114.351667,91.32,Vall de Núria,114.351667,7.614,La Molina,120.0315,Masella,121.196167,0.249493,23.8382,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,23.8382,23.8382,100,,curated,access_variety_no_tier,true
080060,Arenys de Mar,21,Maresme,2026-08-21,Masella,133.509833,178.24,Masella,133.509833,74,La Molina,139.78,Port del Comte,139.99,0.180961,14.5431,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,14.5431,14.5431,100,,curated,access_variety_no_tier,true
080076,Arenys de Munt,21,Maresme,2026-08-21,Masella,133.3945,178.18,Masella,133.3945,74,La Molina,139.664667,Port del Comte,139.8745,0.181309,14.5904,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,14.5904,14.5904,100,,curated,access_variety_no_tier,true
080082,Argençola,06,Anoia,2026-08-21,Port del Comte,88.918167,98.52,Port del Comte,88.918167,,Masella,111.113333,La Molina,117.383667,0.341002,36.2497,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,36.2497,36.2497,100,,curated,access_variety_no_tier,true
080095,Argentona,21,Maresme,2026-08-21,Masella,126.019667,162.98,Masella,126.019667,74,La Molina,132.29,Port del Comte,132.499833,0.205022,17.8065,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,17.8065,17.8065,100,,curated,access_variety_no_tier,true
080109,Artés,07,Bages,2026-08-21,Masella,75.688333,85.19,Masella,75.688333,74,La Molina,81.958667,Port del Comte,84.431333,0.47201,54.0185,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,54.0185,54.0185,100,,curated,access_variety_no_tier,true
080116,Avià,14,Berguedà,2026-08-21,Masella,54.545833,49.08,Masella,54.545833,74,La Molina,60.816,Port del Comte,62.7235,0.672231,81.1748,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,81.1748,81.1748,100,,curated,access_variety_no_tier,true
080121,Avinyó,07,Bages,2026-08-21,Masella,80.5955,79.78,Masella,80.5955,74,La Molina,86.865667,Port del Comte,89.359667,0.434923,48.9883,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,48.9883,48.9883,100,,curated,access_variety_no_tier,true
080137,Avinyonet del Penedès,03,Alt Penedès,2026-08-21,Port del Comte,121.429667,134.61,Port del Comte,121.429667,,Masella,122.949167,La Molina,129.219333,0.225585,20.5956,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,20.5956,20.5956,100,,curated,access_variety_no_tier,true
080142,Aiguafreda,24,Osona,2026-08-21,Vall de Núria,95.639167,76.75,Vall de Núria,95.639167,7.614,La Molina,101.319167,Masella,103.748,0.339858,36.0946,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,36.0946,36.0946,100,,curated,access_variety_no_tier,true
080155,Badalona,13,Barcelonès,2026-08-21,Masella,115.188833,146.73,Masella,115.188833,74,La Molina,121.459,Port del Comte,121.669,0.245582,23.3078,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,23.3078,23.3078,100,,curated,access_variety_no_tier,true
080168,Bagà,14,Berguedà,2026-08-21,Masella,28.337833,23.79,Masella,28.337833,74,La Molina,34.608167,Port del Comte,80.708333,0.96954,100,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,100,100,100,,curated,access_variety_no_tier,true
080174,Balenyà,24,Osona,2026-08-21,Vall de Núria,91.051,72.58,Vall de Núria,91.051,7.614,La Molina,96.731,Masella,99.159833,0.366866,39.7577,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,39.7577,39.7577,100,,curated,access_variety_no_tier,true
080180,Balsareny,07,Bages,2026-08-21,Masella,65.678667,72.18,Masella,65.678667,74,La Molina,71.948833,Port del Comte,81.152667,0.55003,64.6004,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,64.6004,64.6004,100,,curated,access_variety_no_tier,true
080193,Barcelona,13,Barcelonès,2026-08-21,Masella,122.715,151.23,Masella,122.715,74,La Molina,128.985333,Port del Comte,129.195167,0.216631,19.3811,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,19.3811,19.3811,100,,curated,access_variety_no_tier,true
080207,Begues,11,Baix Llobregat,2026-08-21,Masella,137.771167,157.96,Masella,137.771167,74,La Molina,144.0415,Port del Comte,144.251333,0.168554,12.8604,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,12.8604,12.8604,100,,curated,access_variety_no_tier,true
080214,Bellprat,06,Anoia,2026-08-21,Port del Comte,96.880167,107.78,Port del Comte,96.880167,,Masella,119.769167,La Molina,126.0395,0.297479,30.3466,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,30.3466,30.3466,100,,curated,access_variety_no_tier,true
080229,Berga,14,Berguedà,2026-08-21,Masella,48.321833,43.81,Masella,48.321833,74,La Molina,54.592167,Port del Comte,61.616167,0.737739,90.0597,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,90.0597,90.0597,100,,curated,access_variety_no_tier,true
080235,Bigues i Riells del Fai,41,Vallès Oriental,2026-08-21,Vall de Núria,118.33,98.08,Vall de Núria,118.33,7.614,Masella,123.745667,La Molina,124.009833,0.234374,21.7876,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,21.7876,21.7876,100,,curated,access_variety_no_tier,true
080240,Borredà,14,Berguedà,2026-08-21,Masella,59.7415,57.95,Masella,59.7415,74,La Molina,66.011667,Vall de Núria,74.341667,0.608287,72.502,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,72.502,72.502,100,,curated,access_variety_no_tier,true
080253,el Bruc,06,Anoia,2026-08-21,Port del Comte,101.449333,100.06,Port del Comte,101.449333,,Masella,101.596333,La Molina,107.866667,0.317743,33.0951,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,33.0951,33.0951,100,,curated,access_variety_no_tier,true
080266,el Brull,24,Osona,2026-08-21,Vall de Núria,100.436,76.58,Vall de Núria,100.436,7.614,La Molina,106.116,Masella,108.544833,0.313745,32.5528,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,32.5528,32.5528,100,,curated,access_variety_no_tier,true
080272,les Cabanyes,03,Alt Penedès,2026-08-21,Port del Comte,119.895333,128.94,Port del Comte,119.895333,,Masella,121.414833,La Molina,127.685,0.231429,21.3881,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,21.3881,21.3881,100,,curated,access_variety_no_tier,true
080288,Cabrera d'Anoia,06,Anoia,2026-08-21,Port del Comte,105.3845,114.48,Port del Comte,105.3845,,Masella,106.904,La Molina,113.174333,0.294747,29.9761,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,29.9761,29.9761,100,,curated,access_variety_no_tier,true
080291,Cabrera de Mar,21,Maresme,2026-08-21,Masella,121.7765,161.46,Masella,121.7765,74,La Molina,128.046667,Port del Comte,128.2565,0.220046,19.8443,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,19.8443,19.8443,100,,curated,access_variety_no_tier,true
080305,Cabrils,21,Maresme,2026-08-21,Masella,128.300667,161.85,Masella,128.300667,74,La Molina,134.571,Port del Comte,134.780833,0.197374,16.7692,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,16.7692,16.7692,100,,curated,access_variety_no_tier,true
080312,Calaf,06,Anoia,2026-08-21,Port del Comte,69.7805,74.48,Port del Comte,69.7805,,Masella,91.350833,La Molina,97.621167,0.470755,53.8482,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,53.8482,53.8482,100,,curated,access_variety_no_tier,true
080327,Caldes d'Estrac,21,Maresme,2026-08-21,Masella,132.863833,174.77,Masella,132.863833,74,La Molina,139.134,Port del Comte,139.343833,0.18292,14.8088,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,14.8088,14.8088,100,,curated,access_variety_no_tier,true
080333,Caldes de Montbui,41,Vallès Oriental,2026-08-21,Masella,116.961833,149.69,Masella,116.961833,74,La Molina,123.232,Port del Comte,123.442,0.238431,22.3379,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,22.3379,22.3379,100,,curated,access_variety_no_tier,true
080348,Calders,42,Moianès,2026-08-21,Masella,81.759667,96.58,Masella,81.759667,74,La Molina,88.03,Port del Comte,91.0715,0.426063,47.7866,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,47.7866,47.7866,100,,curated,access_variety_no_tier,true
080351,Calella,21,Maresme,2026-08-21,Masella,141.218667,189.91,Masella,141.218667,74,Vall de Núria,144.565833,La Molina,147.488833,0.161354,11.8838,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,11.8838,11.8838,100,,curated,access_variety_no_tier,true
080364,Calonge de Segarra,06,Anoia,2026-08-21,Port del Comte,68.0235,71.22,Port del Comte,68.0235,,Masella,99.839667,La Molina,106.109833,0.45917,52.277,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,52.277,52.277,100,,curated,access_variety_no_tier,true
080370,Calldetenes,24,Osona,2026-08-21,Vall de Núria,84.950833,61.12,Vall de Núria,84.950833,7.614,La Molina,90.630667,Masella,95.756667,0.403798,44.7668,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,44.7668,44.7668,100,,curated,access_variety_no_tier,true
080386,Callús,07,Bages,2026-08-21,Port del Comte,67.587667,69.47,Port del Comte,67.587667,,Masella,81.261333,La Molina,87.531667,0.51136,59.3556,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,59.3556,59.3556,100,,curated,access_variety_no_tier,true
080399,Campins,41,Vallès Oriental,2026-08-21,Masella,132.893667,175.77,Masella,132.893667,74,Vall de Núria,134.105667,La Molina,139.163833,0.187239,15.3947,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,15.3947,15.3947,100,,curated,access_variety_no_tier,true
080403,Canet de Mar,21,Maresme,2026-08-21,Masella,138.538,180.64,Masella,138.538,74,La Molina,144.808167,Port del Comte,145.018167,0.166414,12.5701,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,12.5701,12.5701,100,,curated,access_variety_no_tier,true
080410,Canovelles,41,Vallès Oriental,2026-08-21,Vall de Núria,113.991667,95.56,Vall de Núria,113.991667,7.614,Masella,114.852333,La Molina,119.6715,0.257338,24.9023,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,24.9023,24.9023,100,,curated,access_variety_no_tier,true
080425,Cànoves i Samalús,41,Vallès Oriental,2026-08-21,Vall de Núria,122.823,95.64,Vall de Núria,122.823,7.614,La Molina,128.502833,Masella,130.16,0.216405,19.3505,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,19.3505,19.3505,100,,curated,access_variety_no_tier,true
080431,Canyelles,17,Garraf,2026-08-21,Port del Comte,125.02,138.74,Port del Comte,125.02,,Masella,126.5395,La Molina,132.809667,0.212483,18.8185,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,18.8185,18.8185,100,,curated,access_variety_no_tier,true
080446,Capellades,06,Anoia,2026-08-21,Port del Comte,99.677,107.88,Port del Comte,99.677,,Masella,101.1965,La Molina,107.466833,0.324162,33.9657,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,33.9657,33.9657,100,,curated,access_variety_no_tier,true
080459,Capolat,14,Berguedà,2026-08-21,Port del Comte,53.0335,40.28,Port del Comte,53.0335,,Masella,68.930667,La Molina,75.201,0.64306,77.2182,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,77.2182,77.2182,100,,curated,access_variety_no_tier,true
080462,Cardedeu,41,Vallès Oriental,2026-08-21,Masella,120.043833,159.03,Masella,120.043833,74,Vall de Núria,125.844833,La Molina,126.314167,0.227077,20.798,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,20.798,20.798,100,,curated,access_variety_no_tier,true
080478,Cardona,07,Bages,2026-08-21,Port del Comte,51.745,49.5,Port del Comte,51.745,,Masella,86.214167,La Molina,92.484333,0.594492,70.6309,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,70.6309,70.6309,100,,curated,access_variety_no_tier,true
080484,Carme,06,Anoia,2026-08-21,Port del Comte,104.777,111.17,Port del Comte,104.777,,Masella,106.2965,La Molina,112.566667,0.297747,30.383,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,30.383,30.383,100,,curated,access_variety_no_tier,true
080497,Casserres,14,Berguedà,2026-08-21,Masella,59.486333,56.22,Masella,59.486333,74,La Molina,65.7565,Port del Comte,68.214,0.618358,73.8678,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,73.8678,73.8678,100,,curated,access_variety_no_tier,true
080500,Castellar del Riu,14,Berguedà,2026-08-21,Port del Comte,38.842667,30.14,Port del Comte,38.842667,,Masella,74.080333,La Molina,80.350667,0.734397,89.6063,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,89.6063,89.6063,100,,curated,access_variety_no_tier,true
080517,Castellar del Vallès,40,Vallès Occidental,2026-08-21,Masella,106.352833,132.35,Masella,106.352833,74,La Molina,112.623,Port del Comte,112.832833,0.284547,28.5926,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,28.5926,28.5926,100,,curated,access_variety_no_tier,true
080522,Castellar de n'Hug,14,Berguedà,2026-08-21,La Molina,24.545333,18.66,La Molina,24.545333,70.644,Masella,32.562333,Vall de Núria,78.354,1.022574,100,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,100,100,100,,curated,access_variety_no_tier,true
080538,Castellbell i el Vilar,07,Bages,2026-08-21,Masella,84.283667,103.04,Masella,84.283667,74,La Molina,90.553833,Port del Comte,90.763833,0.411051,45.7505,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,45.7505,45.7505,100,,curated,access_variety_no_tier,true
080543,Castellbisbal,40,Vallès Occidental,2026-08-21,Masella,109.140167,129.66,Masella,109.140167,74,La Molina,115.4105,Port del Comte,115.620333,0.27163,26.8407,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,26.8407,26.8407,100,,curated,access_variety_no_tier,true
080556,Castellcir,42,Moianès,2026-08-21,Masella,103.913333,116.41,Masella,103.913333,74,La Molina,110.1835,Port del Comte,113.225,0.294524,29.9458,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,29.9458,29.9458,100,,curated,access_variety_no_tier,true
080569,Castelldefels,11,Baix Llobregat,2026-08-21,Masella,129.386333,161.31,Masella,129.386333,74,La Molina,135.6565,Port del Comte,135.866333,0.193835,16.2892,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,16.2892,16.2892,100,,curated,access_variety_no_tier,true
080575,Castell de l'Areny,14,Berguedà,2026-08-21,Masella,64.560333,56.41,Masella,64.560333,74,La Molina,70.8305,Port del Comte,80.869333,0.559467,65.8804,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,65.8804,65.8804,100,,curated,access_variety_no_tier,true
080581,Castellet i la Gornal,03,Alt Penedès,2026-08-21,Port del Comte,133.3725,147.21,Port del Comte,133.3725,,Masella,133.632167,La Molina,139.9025,0.186495,15.2937,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,15.2937,15.2937,100,,curated,access_variety_no_tier,true
080594,Castellfollit del Boix,07,Bages,2026-08-21,Port del Comte,92.231333,94.28,Port del Comte,92.231333,,Masella,93.751,La Molina,100.021167,0.366991,39.7746,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,39.7746,39.7746,100,,curated,access_variety_no_tier,true
080608,Castellfollit de Riubregós,06,Anoia,2026-08-21,Port del Comte,61.593833,65.54,Port del Comte,61.593833,,Masella,99.384167,La Molina,105.6545,0.49662,57.3564,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,57.3564,57.3564,100,,curated,access_variety_no_tier,true
080615,Castellgalí,07,Bages,2026-08-21,Masella,88.042,104.44,Masella,88.042,74,Port del Comte,89.875167,La Molina,94.312167,0.394243,43.4709,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,43.4709,43.4709,100,,curated,access_variety_no_tier,true
080620,Castellnou de Bages,07,Bages,2026-08-21,Masella,81.524333,81.57,Masella,81.524333,74,Port del Comte,85.914333,La Molina,87.7945,0.434282,48.9015,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,48.9015,48.9015,100,,curated,access_variety_no_tier,true
080636,Castellolí,06,Anoia,2026-08-21,Port del Comte,95.4355,106.83,Port del Comte,95.4355,,Masella,97.4005,La Molina,103.670667,0.346841,37.0417,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,37.0417,37.0417,100,,curated,access_variety_no_tier,true
080641,Castellterçol,42,Moianès,2026-08-21,Masella,99.8995,113.94,Masella,99.8995,74,La Molina,106.169833,Port del Comte,109.211167,0.3149,32.7095,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,32.7095,32.7095,100,,curated,access_variety_no_tier,true
080654,Castellví de la Marca,03,Alt Penedès,2026-08-21,Port del Comte,125.751667,140.34,Port del Comte,125.751667,,Masella,126.011333,La Molina,132.2815,0.211752,18.7194,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,18.7194,18.7194,100,,curated,access_variety_no_tier,true
080667,Castellví de Rosanes,11,Baix Llobregat,2026-08-21,Masella,111.859667,136.68,Masella,111.859667,74,La Molina,118.129833,Port del Comte,118.339667,0.259594,25.2082,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,25.2082,25.2082,100,,curated,access_variety_no_tier,true
080673,Centelles,24,Osona,2026-08-21,Vall de Núria,94.206333,73.49,Vall de Núria,94.206333,7.614,La Molina,99.886333,Masella,102.315167,0.348072,37.2086,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,37.2086,37.2086,100,,curated,access_variety_no_tier,true
080689,Cervelló,11,Baix Llobregat,2026-08-21,Masella,115.1075,146.26,Masella,115.1075,74,La Molina,121.377667,Port del Comte,121.5875,0.245915,23.353,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,23.353,23.353,100,,curated,access_variety_no_tier,true
080692,Collbató,11,Baix Llobregat,2026-08-21,Masella,97.378833,113.21,Masella,97.378833,74,La Molina,103.649,Port del Comte,103.859,0.330453,34.8189,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,34.8189,34.8189,100,,curated,access_variety_no_tier,true
080706,Collsuspina,42,Moianès,2026-08-21,Vall de Núria,98.5575,75.77,Vall de Núria,98.5575,7.614,Masella,99.632,La Molina,104.237333,0.33249,35.0952,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,35.0952,35.0952,100,,curated,access_variety_no_tier,true
080713,Copons,06,Anoia,2026-08-21,Port del Comte,81.063833,87.03,Port del Comte,81.063833,,Masella,101.749667,La Molina,108.02,0.391999,43.1665,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,43.1665,43.1665,100,,curated,access_variety_no_tier,true
080728,Corbera de Llobregat,11,Baix Llobregat,2026-08-21,Masella,124.0075,150.36,Masella,124.0075,74,La Molina,130.277833,Port del Comte,130.487667,0.212014,18.7549,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,18.7549,18.7549,100,,curated,access_variety_no_tier,true
080734,Cornellà de Llobregat,11,Baix Llobregat,2026-08-21,Masella,114.834,148.35,Masella,114.834,74,La Molina,121.104333,Port del Comte,121.314167,0.247038,23.5053,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,23.5053,23.5053,100,,curated,access_variety_no_tier,true
080749,Cubelles,17,Garraf,2026-08-21,Port del Comte,136.148667,151.71,Port del Comte,136.148667,,Masella,137.668167,La Molina,143.9385,0.176511,13.9396,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,13.9396,13.9396,100,,curated,access_variety_no_tier,true
